County_Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AL-1079,0.0,0.0,0.0,0.0,0.0,0.0,0.0002932035418987861,0.0,0.0,0.0,0.0,0.0,0.0
AL-1081,0.0,0.0,0.0,0.0,0.0,0.0,7.359272315153477e-05,0.0,0.0,0.0,6.58722473634633e-05,6.472031117525613e-05,8.91981090000892e-05
AL-1083,0.0,0.0,0.0,0.0,0.0,0.00013103755536336714,0.00013999898182558672,0.00015628569024176195,0.0,0.0,0.0,0.0,0.0
AL-1089,0.0,4.0703630085409784e-05,4.3294080034102415e-05,0.0,3.505462147382376e-05,6.232199280804202e-05,8.238137082601055e-05,8.33097784852497e-05,7.362360667324372e-05,7.294371662824964e-05,5.481428056256762e-05,5.431737355487198e-05,0.00010765573960909634
AL-1095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011669849352853809,0.0001377760820721523,0.00020157654073437516,0.00025374002220225194
AL-1097,6.53747608163799e-05,6.792094002580996e-05,5.5225180674199045e-05,8.204893597448029e-05,0.00012091779070857825,0.00011976574797375908,0.00012144146157227831,9.435902398896725e-05,0.00010409908295970639,0.0001401589112069132,0.00013770843500403461,0.00013038785557854783,0.00015441705150291221
AL-1101,0.0,4.5027804669383345e-05,0.0,5.3254516648693264e-05,0.0,0.0,4.908106853948126e-05,6.971525674821899e-05,0.0,6.553824374983616e-05,0.0,7.910314610790548e-05,5.2798542760219816e-05
AL-1103,0.0,9.803047856697264e-05,8.853396605607742e-05,0.00010498963227381296,0.00013026713447042068,0.000146177459435755,0.0002387184230943023,0.00010868838204802355,0.00011664333799906685,0.0001498726082829595,0.00015053817397194972,0.0,0.00016770504037498846
AL-1115,0.0,0.0,0.0,0.0,0.00012736419792396358,0.0,0.0001343183344526528,0.0001675222266097091,0.00016671628460851443,0.0,0.00019811210814590373,0.0002441974045304433,0.00017331823538927277
AL-1117,0.0,0.0,0.0,9.505703422053231e-05,0.00014170636261568145,0.0001803876211647735,0.00014545227866578702,7.65181194906954e-05,0.0001262932428063369,0.00016922831886597117,0.00013232764324467382,0.00017936784952491758,0.0001818538564981647
AL-1121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012173447276799844,0.00013484027556449042,0.0,0.0
AL-1125,0.0,0.0,5.81192607230036e-05,0.00012436475050735165,0.00016201298338528922,0.00017053581252062934,0.00015214497242372374,0.00011282282713491558,0.0001067371470685405,0.00013581010728998475,0.00014919138270573493,0.00010832849137803689,0.00011720638579458604
AL-1127,0.0,0.0,0.00015913430935709738,0.0,0.00027674604908600975,0.00046442099763435555,0.00043641441913240813,0.000477633326865382,0.0005256439137943981,0.0003479365847755053,0.00039527494412940696,0.00032140561388472255,0.0
AZ-4003,9.077780070146482e-05,0.0,7.959438700382849e-05,0.00010256329338624547,0.0001017724055865222,9.343975082733113e-05,0.00010809308358683735,0.00015171974329019434,0.0,0.00011362173053470386,8.489095371127815e-05,0.0001256735315833294,0.00022142439147832414
AZ-4005,9.050146036447406e-05,0.0,0.0,0.0,0.0,7.786585270895302e-05,0.0,8.914509850533386e-05,0.00011915844349283187,0.0,0.00016825287675842544,0.0,0.00010794317871072667
AZ-4007,0.0,0.0,0.0,0.0,0.00019145718060155847,0.0,0.0,0.0,0.0,0.0,0.0002263937364399585,0.0002827841037629138,0.00022650911699195894
AZ-4013,0.00010851004794198015,0.00011905322707047694,0.0001272232886616905,0.00014247436123553342,0.00014820697956757645,0.0001328865717108742,0.00014068641048814706,0.0001592111076544204,0.00016180661863909022,0.00015959447803106012,0.00017547252510937165,0.00016977522249103977,1.3726777868175768
AZ-4015,6.432033867581964e-05,5.608116065570093e-05,0.00012907389480477574,7.783151034640211e-05,9.701202949165696e-05,0.00013292365580953064,0.00026177338637238545,0.00033447487444711804,0.00025639508510344553,0.0003196506464319611,0.0003003062138771009,0.0002752884383771747,0.02206047689344687
AZ-4017,0.0,0.00011426394972386212,0.0,9.174311926605505e-05,0.00013513635257975297,0.0,0.00015047576897543705,0.00012070902624957055,0.00010227610830110086,0.0001584151034823367,0.00020534839221542913,0.00016712936741534434,9.290399301361973e-05
AZ-4019,0.00017601735818978878,0.00016771170898231453,0.00018230387843598024,0.00019477670388610277,0.0001565333089837075,0.00011487059233615097,0.00016957459321701628,0.00020781972657443818,0.00018616302822494564,0.00021449027845470327,0.00020960218708349087,0.00022106511562601758,0.018469868784455105
AZ-4021,8.621845841396356e-05,7.701926387705914e-05,6.316933171058339e-05,6.285750204286881e-05,0.00011234729854311989,6.98960675864584e-05,0.0001261137604777072,0.00011870406812030789,8.729211910877391e-05,9.941111991858753e-05,0.00010638353079154536,6.323958696960959e-05,0.00011094291617153254
AZ-4025,8.178844056706652e-05,0.00025325538695312663,7.593667893465902e-05,8.225594178214755e-05,0.00014150676402332031,0.00014888568371097566,0.00018081841195070612,0.00015641070607584498,0.00020848732965637496,0.00031133544035095995,0.00030314194971574614,0.00023884326370133567,1.3188786485813273
AZ-4027,0.0,0.0,7.76940408670655e-05,5.397615333545639e-05,8.98610325561235e-05,0.0,9.646041061673741e-05,0.0001116031796760464,9.859939558570506e-05,0.0001580442029880232,0.00010868491255804762,0.0001715232242445627,0.0001169670445352022
AR-5007,0.0,0.0,5.203373867615762e-05,4.962557503635074e-05,6.162218019273522e-05,5.467119830154811e-05,6.651766709237974e-05,8.985008513295566e-05,7.854396935039774e-05,8.087240037797206e-05,4.5936499054125724e-05,7.760138212145842e-05,0.007989157004821317
